customer_id;customer_name;customer_region
1426991;Мучеоблегчист-Фарм Аптека №1;Волгоградская область
1433615;Доступомиго-Фарм Аптека №1;Волгоградская область
1421588;Доступиоколь-Фарм Аптека №1;Воронежская область
1421586;Легклечист-Фарм Аптека №1;Воронежская область
1421582;Инстовыхитель-Фарм Аптека №1;Воронежская область
1421655;Мигррани-Фарм Аптека №1;Воронежская область
1423715;Хворопустякн-Фарм Аптека №1;Воронежская область
1421659;Избаведолорипласт-Фарм Аптека №1;Воронежская область
1421660;Полноладипласт-Фарм Аптека №1;Воронежская область
1423299;Сплиносвободпласт-Фарм Аптека №1;Воронежская область
1421465;Хватианестл-Фарм Аптека №1;Воронежская область
1421479;Тягиметль-Фарм Аптека №1;Воронежская область
61834;Эластаоблегчпласт-Фарм Аптека №1;Владимирская область
126441;Хватсрокил-Фарм Аптека №1;Владимирская область
178;Здорвебег-Фарм Аптека №1;Забайкальский край
46;Хворидолорл-Фарм Аптека №1;Ставропольский край
1204236;Медеокипласт-Фарм Аптека №1;Краснодарский край
15052;Болагоизящнин-Фарм Аптека №1;Московская область
2731;Легкауходол-Фарм Аптека №1;Рязанская область
1281170;Анестезосрокон-Фарм Аптека №1;Ярославская область
13147;Прекрасцелитст-Фарм Аптека №1;Московская область
428;Мигрицелитол-Фарм Аптека №1;Республика Хакасия
1204227;Финокст-Фарм Аптека №1;Краснодарский край
1204216;Мягкигармоникипласт-Фарм Аптека №1;Краснодарский край
1344;Недуницелитл-Фарм Аптека №1;Краснодарский край
1394482;Чудбегл-Фарм Аптека №1;Саратовская область
126372;Васеажуроль-Фарм Аптека №1;Москва
124595;Полвыхо-Фарм Аптека №1;Москва
126468;Годоскрашл-Фарм Аптека №1;Москва
115623;Ладегармоникол-Фарм Аптека №1;Москва
117779;Недунометст-Фарм Аптека №1;Москва
122959;Недунипустякотель-Фарм Аптека №1;Москва
117222;Резабегипласт-Фарм Аптека №1;Москва
1388199;Катиоблегчитель-Фарм Аптека №1;Республика Крым
100891;Пыткеоктель-Фарм Аптека №1;Московская область
114205;Терзанемигол-Фарм Аптека №1;Нижегородская область
114204;Уданестист-Фарм Аптека №1;Нижегородская область
86204;Сносисрокотель-Фарм Аптека №1;Нижегородская область
120793;Спасоскрашист-Фарм Аптека №1;Нижегородская область
113969;Муксимфонил-Фарм Аптека №1;Нижегородская область
116773;Хорошоизящнол-Фарм Аптека №1;Нижегородская область
100178;Удиранипласт-Фарм Аптека №1;Москва
100175;Здоровооблегчил-Фарм Аптека №1;Москва
100283;Мучелечиотель-Фарм Аптека №1;Москва
100205;Полнокин-Фарм Аптека №1;Москва
100214;Эластеанест-Фарм Аптека №1;Москва
100294;Полнустрании-Фарм Аптека №1;Москва
100276;Стрелаустранипласт-Фарм Аптека №1;Москва
100186;Стрелоспасол-Фарм Аптека №1;Москва
100263;Каторгустраниист-Фарм Аптека №1;Москва
100240;Ломотцелиль-Фарм Аптека №1;Москва
100303;Воздухметост-Фарм Аптека №1;Москва
1422819;Резолади-Фарм Аптека №1;Воронежская область
1422805;Согласавыхи-Фарм Аптека №1;Воронежская область
1422821;Мукицелил-Фарм Аптека №1;Воронежская область
124750;Мигрмигист-Фарм Аптека №1;Московская область
1431648;Инстосимфонотель-Фарм Аптека №1;Тверская область
1431558;Резаметин-Фарм Аптека №1;Тульская область
1394055;Ходоцелитель-Фарм Аптека №1;Саратовская область
107557;Годосмяго-Фарм Аптека №1;Нижегородская область
126594;Каторгопустяки-Фарм Аптека №1;Нижегородская область
126596;Хватитиокон-Фарм Аптека №1;Нижегородская область
126473;Избавсимфон-Фарм Аптека №1;Нижегородская область
126595;Мучефрил-Фарм Аптека №1;Нижегородская область
1433301;Спасиизбаволь-Фарм Аптека №1;Республика Крым
1126459;Спасаоблегч-Фарм Аптека №1;Свердловская область
103639;Болбегиль-Фарм Аптека №1;Москва
1278799;Флексефрин-Фарм Аптека №1;Санкт-Петербург
1308224;Хвореизбавитель-Фарм Аптека №1;Приморский край
1254833;Терзанисимфонотель-Фарм Аптека №1;Приморский край
1410681;Каторгефонитель-Фарм Аптека №1;Ростовская область
79832;Доступладил-Фарм Аптека №1;Москва
99985;Страданасвобопласт-Фарм Аптека №1;Москва
29821;Тягзащипласт-Фарм Аптека №1;Московская область
124706;Стойкепустяко-Фарм Аптека №1;Москва
1363834;Добреанестиль-Фарм Аптека №1;Ставропольский край
1381508;Стойкесвобипласт-Фарм Аптека №1;Приморский край
1302193;Удоблегчитель-Фарм Аптека №1;Самарская область
1202359;Мягкевыхопласт-Фарм Аптека №1;Краснодарский край
81914;Каторгибегл-Фарм Аптека №1;Москва
1293149;Голгофедолоропласт-Фарм Аптека №1;Приморский край
1347929;Сносаметопласт-Фарм Аптека №1;Приморский край
97265;Худорантель-Фарм Аптека №1;Москва
61483;Здорвофриол-Фарм Аптека №1;Владимирская область
1411546;Воздухоспасист-Фарм Аптека №1;Ростовская область
1411549;Удовыхоль-Фарм Аптека №1;Ростовская область
1411551;Страданисвобол-Фарм Аптека №1;Ростовская область
1411544;Здоровизбавист-Фарм Аптека №1;Ростовская область
1209711;Мигрпустякиль-Фарм Аптека №1;Республика Северная Осетия — Алания
92169;Мучеоблегчтель-Фарм Аптека №1;Московская область
46091;Коликобегн-Фарм Аптека №1;Московская область
1430716;Инстаажурост-Фарм Аптека №1;Белгородская область
1407619;Сплинисрокотель-Фарм Аптека №1;Республика Мордовия
57898;Голгофезащист-Фарм Аптека №1;Москва
1278960;Здоровипустякон-Фарм Аптека №1;Свердловская область
1301395;Воздухбеголь-Фарм Аптека №1;Приморский край
86383;Хворибегин-Фарм Аптека №1;Смоленская область
