date;sku_id;customer_id;wrhs_name;qnt
20180121;38446;1426991;Склад Астрахань;38
20180123;38446;1433615;Склад Астрахань;1
20180116;38446;1421588;Головной склад;1
20180123;38446;1421586;Головной склад;1
20180111;38446;1421582;Головной склад;4
20180124;38446;1421655;Головной склад;4
20180112;38446;1423715;Головной склад;1
20180109;38446;1421659;Головной склад;12
20180115;38446;1421660;Головной склад;4
20180122;38446;1421660;Головной склад;3
20180110;38446;1423299;Головной склад;1
20180127;38446;1421465;Головной склад;1
20180118;38446;1421479;Головной склад;3
20180117;38446;61834;Головной склад;11
20180129;38446;126441;Головной склад;10
20180112;38446;178;Склад Иркутск;2
20180119;38446;46;Склад Ставрополь;1
20180111;38446;1204236;Склад Краснодар;3
20180124;38446;15052;Головной склад;5
20180118;38446;2731;Головной склад;1
20180122;38446;1281170;Склад Ярославль;3
20180103;38446;13147;Головной склад;4
20180105;38446;13147;Головной склад;1
20180124;38446;428;Склад Красноярск;5
20180115;38446;1204227;Склад Краснодар;4
20180131;38446;1204216;Склад Краснодар;2
20180122;38446;1344;Склад Краснодар;2
20180117;38446;1394482;Склад Самара;2
20180116;38446;126372;Головной склад;1
20180123;38446;126372;Головной склад;1
20180110;38446;124595;Головной склад;4
20180102;38446;126468;Головной склад;5
20180131;38446;115623;Головной склад;5
20180123;38446;117779;Головной склад;3
20180123;38446;122959;Головной склад;2
20180124;38446;122959;Головной склад;5
20180125;38446;117222;Головной склад;1
20180115;38446;1388199;Склад Краснодар;5
20180110;38446;100891;Головной склад;4
20180129;38446;114205;Головной склад;2
20180110;38446;114204;Головной склад;5
20180110;38446;86204;Головной склад;3
20180119;38446;120793;Головной склад;5
20180130;38446;120793;Головной склад;1
20180112;38446;113969;Головной склад;4
20180110;38446;116773;Головной склад;1
20180126;38446;100178;Головной склад;3
20180129;38446;100178;Головной склад;2
20180105;38446;100175;Головной склад;1
20180105;38446;100283;Головной склад;5
20180116;38446;100283;Головной склад;5
20180112;38446;100205;Головной склад;10
20180129;38446;100214;Головной склад;5
20180124;38446;100294;Головной склад;4
20180111;38446;100276;Головной склад;5
20180126;38446;100276;Головной склад;5
20180105;38446;100186;Головной склад;23
20180129;38446;100263;Головной склад;3
20180109;38446;100240;Головной склад;2
20180110;38446;100303;Головной склад;4
20180109;38446;1422819;Головной склад;2
20180109;38446;1422805;Головной склад;4
20180118;38446;1422821;Головной склад;4
20180116;38446;124750;Головной склад;8344
20180129;38446;1431648;Головной склад;1
20180131;38446;1431558;Головной склад;3
20180129;38446;1394055;Склад Самара;3
20180122;38446;107557;Головной склад;2
20180117;38446;126594;Головной склад;1
20180117;38446;126596;Головной склад;2
20180117;38446;126473;Головной склад;2
20180124;38446;126595;Головной склад;2
20180109;38446;1433301;Склад Краснодар;3
20180125;38446;1433301;Склад Краснодар;2
20180130;38446;1126459;Склад Екатеринбург;5
20180119;38446;103639;Головной склад;4
20180110;38446;1278799;Склад Санкт-Петербург;2
20180123;38446;1308224;Склад Владивосток;1
20180123;38446;1308224;Склад Владивосток;5
20180104;38446;1254833;Склад Владивосток;49
20180106;38446;1410681;Склад Краснодар;1
20180111;38446;79832;Головной склад;2
20180123;38446;99985;Головной склад;1
20180110;38446;29821;Головной склад;1
20180126;38446;124706;Головной склад;28
20180129;38446;1363834;Склад Ставрополь;4
20180117;38446;1381508;Склад Владивосток;46
20180117;38446;1381508;Склад Владивосток;1
20180111;38446;1381508;Склад Владивосток;3
20180115;38446;1302193;Склад Самара;4
20180129;38446;1202359;Склад Краснодар;5
20180109;38446;81914;Головной склад;3
20180118;38446;1293149;Склад Владивосток;5
20180127;38446;1293149;Склад Владивосток;1
20180110;38446;1293149;Склад Владивосток;4
20180113;38446;1347929;Склад Владивосток;5
20180131;38446;1347929;Склад Владивосток;3
20180120;38446;1347929;Склад Владивосток;5
20180110;38446;97265;Головной склад;26
20180124;38446;61483;Головной склад;30
20180124;38446;1411546;Склад Краснодар;2
20180122;38446;1411549;Склад Краснодар;2
20180115;38446;1411551;Склад Краснодар;4
20180109;38446;1411544;Склад Краснодар;5
20180115;38446;1411544;Склад Краснодар;2
20180112;38446;1209711;Склад Ставрополь;35
20180124;38446;92169;Головной склад;1
20180122;38446;46091;Головной склад;5
20180116;38446;1430716;Склад Курск;1
20180125;38446;1407619;Склад Самара;2
20180123;38446;57898;Головной склад;5
20180111;38446;1278960;Склад Екатеринбург;1
20180116;38446;1278960;Склад Екатеринбург;1
20180111;38446;1301395;Склад Владивосток;22
20180113;38446;1301395;Склад Владивосток;2
20180113;38446;1301395;Склад Владивосток;4
20180129;38446;1301395;Склад Владивосток;5
20180131;38446;1301395;Склад Владивосток;3
20180110;38446;86383;Головной склад;1
20180131;38446;107815;Головной склад;2
20180112;38446;83209;Головной склад;2
20180110;38446;1411584;Склад Краснодар;2
20180114;38446;1280228;Склад Краснодар;4
20180118;38446;1280228;Склад Краснодар;5
20180123;38446;1300296;Склад Краснодар;18
20180119;38446;1279443;Склад Краснодар;2
20180129;38446;1341334;Склад Краснодар;16
20180112;38446;1307101;Склад Краснодар;4
20180107;38446;1407307;Склад Краснодар;2
20180119;38446;1407307;Склад Краснодар;19
20180117;38446;1407307;Склад Краснодар;3
20180105;38446;1414878;Склад Краснодар;3
20180123;38446;1424852;Склад Краснодар;4
20180111;38446;1359562;Склад Краснодар;4
20180112;38446;1366424;Склад Краснодар;2
20180105;38446;1399605;Склад Краснодар;3
20180119;38446;1399605;Склад Краснодар;4
20180119;38446;1388028;Склад Краснодар;2
20180111;38446;1369827;Склад Краснодар;3
20180118;38446;1388029;Склад Краснодар;2
20180117;38446;1374526;Склад Краснодар;2
20180112;38446;1353928;Склад Краснодар;5
20180125;38446;1383298;Склад Краснодар;5
20180110;38446;1357776;Склад Краснодар;3
20180129;38446;121124;Головной склад;5
20180117;38446;121125;Головной склад;1
20180109;38446;1407275;Склад Курск;37
20180119;38446;1411592;Склад Краснодар;1
20180109;38446;1411594;Склад Краснодар;5
20180111;38446;1411594;Склад Краснодар;2
20180122;38446;1411594;Склад Краснодар;4
20180124;38446;1411594;Склад Краснодар;50
20180126;38446;1411596;Склад Краснодар;4
20180118;38446;1421183;Склад Краснодар;5
20180123;38446;1421183;Склад Краснодар;1
20180117;38446;1411604;Склад Краснодар;3
20180111;38446;1411605;Склад Краснодар;1
20180105;38446;1423965;Склад Краснодар;3
20180122;38446;1411601;Склад Краснодар;4
20180125;38446;1411601;Склад Краснодар;5
20180117;38446;1419521;Склад Краснодар;5
20180119;38446;1411614;Склад Краснодар;2
20180115;38446;1411617;Склад Краснодар;5
20180125;38446;1411620;Склад Краснодар;49
20180117;38446;1419522;Склад Краснодар;2
20180115;38446;1411622;Склад Краснодар;1
20180110;38446;1411621;Склад Краснодар;2
20180105;38446;1390380;Склад Ставрополь;3
20180113;38446;1395155;Склад Ставрополь;2
20180113;38446;1374246;Склад Ставрополь;2
20180123;38446;1374246;Склад Ставрополь;1
20180105;38446;1374246;Склад Ставрополь;3
20180125;38446;1424329;Склад Ставрополь;2
